Time (s),State,EAR,MAR,Gaze,Yawning,Roll,BaseRoll,Pitch,BasePitch,Yaw,BaseYaw
0.04,Stillness,0.000,0.130,4.330,False,-4.93,-2.47,-1.38,-0.69,-0.01,-0.01
0.13,Stillness,0.000,0.114,3.650,False,-5.26,-4.93,-1.36,-1.36,-0.01,-0.01
0.15,Stillness,0.000,0.108,4.330,False,-5.18,-5.06,-1.00,-1.18,-0.01,-0.01
0.19,Stillness,0.000,0.108,3.650,False,-4.86,-4.93,-0.74,-1.00,-0.01,-0.01
0.22,Stillness,0.000,0.109,4.330,False,-4.51,-4.89,-0.28,-0.87,-0.01,-0.01
0.25,Stillness,0.000,0.100,4.081,False,-4.49,-4.86,0.16,-0.74,-0.01,-0.01
0.28,Stillness,0.000,0.101,4.303,False,-4.47,-4.68,0.48,-0.51,-0.01,-0.01
0.31,Stillness,0.000,0.111,4.081,False,-4.31,-4.51,0.66,-0.28,-0.01,-0.01
0.34,Stillness,0.000,0.101,5.385,False,-4.14,-4.50,1.14,-0.14,-0.01,-0.01
0.37,Stillness,0.000,0.100,6.047,False,-3.94,-4.49,1.61,0.00,-0.01,-0.01
0.40,Stillness,0.000,0.102,6.521,False,-3.82,-4.48,2.13,0.08,-0.01,-0.01
0.43,Stillness,0.000,0.100,6.270,False,-3.72,-4.47,2.63,0.16,-0.01,-0.01
0.47,Stillness,0.000,0.104,5.000,False,-3.49,-4.39,3.14,0.32,-0.01,-0.01
0.50,Stillness,0.000,0.094,3.621,False,-3.35,-4.31,3.69,0.48,-0.01,-0.01
0.53,Stillness,0.000,0.090,3.162,False,-3.12,-4.22,4.18,0.57,-0.01,-0.01
0.56,Stillness,0.000,0.095,3.217,False,-2.80,-4.14,4.92,0.66,-0.01,-0.01
0.59,Drowsy,1.000,0.095,2.303,False,-3.07,-4.04,5.50,0.90,-0.01,-0.01
0.62,Drowsy,1.000,0.090,2.532,False,-3.11,-3.94,6.09,1.14,-0.01,-0.01
0.65,Drowsy,1.000,0.091,2.510,False,-2.94,-3.88,6.46,1.37,-0.01,-0.01
0.68,Drowsy,1.000,0.077,3.217,False,-2.94,-3.82,6.80,1.61,-0.00,-0.01
0.72,Drowsy,1.000,0.088,2.303,False,-2.81,-3.77,7.05,1.87,0.00,-0.01
0.75,Drowsy,1.000,0.082,2.921,False,-2.73,-3.72,7.06,2.13,0.00,-0.01
0.78,Drowsy,1.000,0.090,3.693,False,-2.68,-3.61,7.38,2.38,0.01,-0.01
0.81,Drowsy,1.000,0.083,3.811,False,-2.89,-3.49,7.38,2.63,0.01,-0.01
0.84,Drowsy,1.000,0.084,3.811,False,-2.87,-3.42,7.62,2.88,0.01,-0.01
0.87,Drowsy,1.000,0.080,3.811,False,-2.83,-3.35,7.76,3.14,0.01,-0.01
0.90,Drowsy,1.000,0.082,3.207,False,-2.21,-3.23,7.93,3.42,0.01,-0.01
0.94,Stillness,0.000,0.086,3.354,False,-2.09,-3.12,7.93,3.69,0.00,-0.01
0.96,Stillness,0.000,0.081,3.400,False,-1.85,-3.12,8.09,3.94,0.00,-0.01
1.00,Stillness,0.000,0.071,3.623,False,-1.79,-3.11,8.16,4.18,0.00,-0.01
1.03,Stillness,0.000,0.083,3.811,False,-1.73,-3.09,8.01,4.55,-0.00,-0.01
1.06,Stillness,0.000,0.081,2.943,False,-1.81,-3.07,8.14,4.92,0.00,-0.01
1.09,Stillness,0.000,0.083,2.736,False,-1.85,-3.01,8.11,5.21,0.00,-0.01
1.12,Stillness,0.000,0.059,3.257,False,-2.02,-2.94,8.27,5.50,0.00,-0.01
1.15,Stillness,0.000,0.083,3.811,False,-1.97,-2.94,8.12,5.80,0.00,-0.01
1.19,Stillness,0.000,0.084,3.180,False,-1.91,-2.94,8.11,6.09,0.00,-0.01
1.22,Stillness,0.000,0.085,3.643,False,-1.96,-2.92,8.09,6.27,0.00,-0.00
1.25,Stillness,0.000,0.085,3.864,False,-2.03,-2.89,8.07,6.46,0.00,-0.00
1.28,Stillness,0.000,0.083,3.811,False,-2.32,-2.88,8.16,6.63,0.01,-0.00
1.31,Stillness,0.000,0.071,3.811,False,-2.51,-2.87,8.12,6.80,0.01,0.00
